h,angle,y,sigmay
10.0,10.0,0.0017,0.0015
20.0,10.0,0.0016,0.0015
30.0,10.0,0.0027,0.0015
40.0,10.0,0.0055,0.0015
50.0,10.0,0.0083,0.0015
60.0,10.0,0.0085,0.0015
70.0,10.0,0.0096,0.0015
80.0,10.0,0.0144,0.0015
90.0,10.0,0.02,0.0015
100.0,10.0,0.0208,0.0015
10.0,20.0,0.0007,0.0015
20.0,20.0,0.0016,0.0015
30.0,20.0,0.003,0.0015
40.0,20.0,0.0043,0.0015
50.0,20.0,0.0078,0.0015
60.0,20.0,0.0092,0.0015
70.0,20.0,0.0106,0.0015
80.0,20.0,0.0142,0.0015
90.0,20.0,0.0181,0.0015
100.0,20.0,0.021,0.0015
10.0,30.0,0.0013,0.0015
20.0,30.0,0.0017,0.0015
30.0,30.0,0.0038,0.0015
40.0,30.0,0.0059,0.0015
50.0,30.0,0.0067,0.0015
60.0,30.0,0.0094,0.0015
70.0,30.0,0.0122,0.0015
80.0,30.0,0.0132,0.0015
90.0,30.0,0.0151,0.0015
100.0,30.0,0.0186,0.0015
10.0,40.0,0.0011,0.0015
20.0,40.0,0.0013,0.0015
30.0,40.0,0.004,0.0015
40.0,40.0,0.0051,0.0015
50.0,40.0,0.0067,0.0015
60.0,40.0,0.0068,0.0015
70.0,40.0,0.0088,0.0015
80.0,40.0,0.0126,0.0015
90.0,40.0,0.0149,0.0015
100.0,40.0,0.0173,0.0015
10.0,50.0,0.0006,0.0015
20.0,50.0,0.0006,0.0015
30.0,50.0,0.003,0.0015
40.0,50.0,0.0032,0.0015
50.0,50.0,0.0051,0.0015
60.0,50.0,0.0068,0.0015
70.0,50.0,0.0062,0.0015
80.0,50.0,0.0094,0.0015
90.0,50.0,0.0121,0.0015
100.0,50.0,0.0126,0.0015
10.0,60.0,0.0001,0.0015
20.0,60.0,-0.0,0.0015
30.0,60.0,0.0016,0.0015
40.0,60.0,0.003,0.0015
50.0,60.0,0.0047,0.0015
60.0,60.0,0.0053,0.0015
70.0,60.0,0.0068,0.0015
80.0,60.0,0.0079,0.0015
90.0,60.0,0.0092,0.0015
100.0,60.0,0.0112,0.0015
